0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CHM-2023 -004-C (82108),6,66.67,1,11.11,2,22.22,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,9
CHM-2023 -004I-C (82108),3,42.86,2,28.57,2,28.57,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,7
CHM-2210 -903-C (82370),6,20.00,8,26.67,10,33.33,0,0.00,2,6.67,0,0.00,0,0.00,0,0.00,4,13.33,0,0,30
CHM-2210 -904-C (82371),12,40.00,10,33.33,4,13.33,0,0.00,2,6.67,0,0.00,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -911-C (82372),4,13.79,5,17.24,9,31.03,4,13.79,3,10.34,0,0.00,0,0.00,0,0.00,4,13.79,0,0,29
CHM-2210 -912-C (82373),9,30.00,9,30.00,5,16.67,3,10.00,0,0.00,2,6.67,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2045L-910-L (82452),19,79.17,3,12.50,1,4.17,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-2045L-908-L (82453),19,79.17,3,12.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,8.33,0,0,24
CHM-7980 -015-G (82547),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,100,6
CHM-2210 -913-C (82658),10,33.33,9,30.00,3,10.00,2,6.67,4,13.33,0,0.00,0,0.00,0,0.00,2,6.67,0,0,30
CHM-2210 -914-C (82659),8,26.67,14,46.67,4,13.33,1,3.33,2,6.67,0,0.00,0,0.00,0,0.00,1,3.33,0,0,30
CHM-2211 -901-C (82921),3,13.64,7,31.82,8,36.36,2,9.09,0,0.00,0,0.00,0,0.00,0,0.00,2,9.09,0,0,22
CHM-2211 -902-C (82922),5,20.00,8,32.00,3,12.00,5,20.00,2,8.00,0,0.00,0,0.00,0,0.00,2,8.00,0,0,25
CHM-2211 -903-C (82924),3,30.00,4,40.00,0,0.00,2,20.00,1,10.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,10
CHM-2211 -904-C (82925),3,14.29,12,57.14,5,23.81,1,4.76,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,21
CHM-2046L-903-L (83023),18,75.00,3,12.50,2,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.17,0,0,24
CHM-7980 -004-G (83450),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,5.88,0,0.00,0,0.00,16,94,17
CHM-7980 -005-G (83451),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,5,100,5
CHM-7980 -022-G (83458),0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,16.67,0,0.00,0,0.00,5,83,6
CHM-3120C-901-C (83980),4,22.22,9,50.00,2,11.11,1,5.56,2,11.11,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
CHM-3610L-002-L (84014),10,76.92,1,7.69,1,7.69,0,0.00,1,7.69,0,0.00,0,0.00,0,0.00,0,0.00,0,0,13
CHM-2211L-001-L (84210),13,92.86,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2211L-002-L (84211),12,85.71,0,0.00,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2211L-003-L (84212),12,85.71,1,7.14,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2211L-006-L (84213),10,71.43,3,21.43,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2211L-007-L (84214),12,85.71,1,7.14,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2211L-901-L (84215),9,64.29,2,14.29,2,14.29,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
CHM-2211L-902-L (84216),12,85.71,1,7.14,1,7.14,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,14
CHM-2211L-903-L (84217),11,78.57,1,7.14,0,0.00,0,0.00,1,7.14,0,0.00,0,0.00,0,0.00,1,7.14,0,0,14
