course_name,course_num,last_name,first_name,a_num,a_per,b_num,b_per,c_num,c_per,d_num,d_per,f_num,f_per,i_num,i_per,s_num,s_per,u_num,u_per,w_num,w_per,o_num,o_per,total_num
CIS-3363 -001-C (93192),93192,Chellappan,Sriram,36,42.35,28,32.94,16,18.82,3,3.53,2,2.35,0,0.00,0,0.00,0,0.00,0,0.00,0,0,85
CIS-6946 -034-I (93396),93396,Chellappan,Sriram,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,92.31,0,0.00,1,7.69,0,0,13
CEN-3722 -701-C (94410),94410,Hidalgo,Isabela,70,73.68,22,23.16,3,3.16,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,95
CIS-4345 -001-C (94579),94579,Zhang,Yan,19,37.25,15,29.41,12,23.53,3,5.88,1,1.96,0,0.00,0,0.00,0,0.00,1,1.96,0,0,51
CDA-4205L-001-L (94580),94580,Mozaffari Kermani,Mehran,25,83.33,4,13.33,0,0.00,0,0.00,1,3.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,30
CDA-4205L-002-L (94581),94581,Mozaffari Kermani,Mehran,19,73.08,7,26.92,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26
CDA-4205L-003-L (94582),94582,Mozaffari Kermani,Mehran,23,74.19,5,16.13,3,9.68,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,31
CNT-4104L-002-L (94583),94583,Rauscher,Richard,38,88.37,2,4.65,2,4.65,0,0.00,1,2.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,43
CNT-4104L-001-L (94584),94584,Rauscher,Richard,27,71.05,10,26.32,0,0.00,0,0.00,1,2.63,0,0.00,0,0.00,0,0.00,0,0.00,0,0,38
COP-4710 -001-C (94640),94640,Hendrix,William,27,45.00,19,31.67,12,20.00,1,1.67,0,0.00,0,0.00,0,0.00,0,0.00,1,1.67,0,0,60
CAP-4103 -001-C (94645),94645,Neal,Tempestt,19,47.50,17,42.50,3,7.50,1,2.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,40
CAP-6101 -001-C (94646),94646,Neal,Tempestt,5,27.78,10,55.56,2,11.11,0,0.00,1,5.56,0,0.00,0,0.00,0,0.00,0,0.00,0,0,18
CDA-4321 -001-C (95656),95656,Mozaffari Kermani,Mehran,13,50.00,10,38.46,3,11.54,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,26
CDA-6328 -001-C (95657),95657,Mozaffari Kermani,Mehran,19,95.00,0,0.00,0,0.00,0,0.00,1,5.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
CIS-4622 -001-C (95659),95659,Ou,Xinming,30,71.43,10,23.81,1,2.38,1,2.38,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,42
CIS-4200 -001-C (95660),95660,Ventura,Philip,44,55.00,24,30.00,7,8.75,3,3.75,2,2.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0,80
COP-4368 -001-C (95680),95680,Fang,Suey-Chyun,4,25.00,4,25.00,2,12.50,2,12.50,3,18.75,0,0.00,0,0.00,0,0.00,1,6.25,0,0,16
CAP-4160 -001-C (95862),95862,Andujar,Marvin,5,31.25,5,31.25,2,12.50,0,0.00,3,18.75,0,0.00,0,0.00,0,0.00,1,6.25,0,0,16
CAP-6109 -001-C (95863),95863,Andujar,Marvin,6,31.58,7,36.84,6,31.58,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,19
CIS-6082 -001-C (95868),95868,Ventura,Philip,19,95.00,0,0.00,1,5.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,20
COT-5105 -701-O (96074),96074,Wang,Jing,9,75.00,3,25.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
COP-5532 -701-O (96075),96075,Hidalgo,Isabela,7,58.33,1,8.33,4,33.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
COP-5227 -701-O (96076),96076,Gaspar,Alessio,5,41.67,5,41.67,2,16.67,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
COP-5008 -701-O (96096),96096,Anderson,James,8,66.67,3,25.00,1,8.33,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,12
EGN-3000 -002-C (80688),80688,Goodwin,Mary,0,0.00,0,0.00,0,0.00,0,0.00,27,5.79,0,0.00,431,92.49,0,0.00,8,1.72,0,0,466
EGN-4930 -000-C (84788),84788,Goodwin,Mary,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,9,90.00,1,10.00,0,0.00,0,0,10
EGN-4930 -024-C (85053),85053,Goodwin,Mary,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18,94.74,1,5.26,0,0.00,0,0,19
EGN-4930 -007-C (86298),86298,Goodwin,Mary,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,19,100.00,0,0.00,0,0.00,0,0,19
EGN-4930 -009-C (86308),86308,Goodwin,Mary,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18,94.74,1,5.26,0,0.00,0,0,19
EGN-4930 -010-C (86389),86389,Goodwin,Mary,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21,95.45,0,0.00,1,4.55,0,0,22
